datesk;Item Name;Date;price
20110101;Chillies Green;01/01/2011;NULL
20110101;Chillies Bajji;01/01/2011;NULL
20110101;Chillies Cleaned;01/01/2011;NULL
20110101;Chillies small (C.B.P);01/01/2011;NULL
20110101;Chillies Bajji yagani;01/01/2011;NULL
20110102;Chillies small (C.B.P);01/02/2011;NULL
20110102;Chillies Cleaned;01/02/2011;NULL
20110102;Chillies Bajji;01/02/2011;NULL
20110102;Chillies Green;01/02/2011;NULL
20110102;Chillies Bajji yagani;01/02/2011;NULL
20110103;Chillies Green;01/03/2011;NULL
20110103;Chillies Bajji;01/03/2011;NULL
20110103;Chillies Cleaned;01/03/2011;NULL
20110103;Chillies small (C.B.P);01/03/2011;NULL
20110103;Chillies Bajji yagani;01/03/2011;NULL
20110104;Chillies small (C.B.P);01/04/2011;NULL
20110104;Chillies Cleaned;01/04/2011;NULL
20110104;Chillies Bajji;01/04/2011;NULL
20110104;Chillies Green;01/04/2011;NULL
20110104;Chillies Bajji yagani;01/04/2011;NULL
20110105;Chillies Green;01/05/2011;NULL
20110105;Chillies Bajji;01/05/2011;NULL
20110105;Chillies Cleaned;01/05/2011;NULL
20110105;Chillies small (C.B.P);01/05/2011;NULL
20110105;Chillies Bajji yagani;01/05/2011;NULL
20110106;Chillies small (C.B.P);01/06/2011;NULL
20110106;Chillies Cleaned;01/06/2011;NULL
20110106;Chillies Bajji;01/06/2011;NULL
20110106;Chillies Green;01/06/2011;NULL
20110106;Chillies Bajji yagani;01/06/2011;NULL
20110107;Chillies Green;01/07/2011;NULL
20110107;Chillies Bajji;01/07/2011;NULL
20110107;Chillies Cleaned;01/07/2011;NULL
20110107;Chillies small (C.B.P);01/07/2011;NULL
20110107;Chillies Bajji yagani;01/07/2011;NULL
20110108;Chillies small (C.B.P);01/08/2011;NULL
20110108;Chillies Cleaned;01/08/2011;NULL
20110108;Chillies Bajji;01/08/2011;NULL
20110108;Chillies Green;01/08/2011;NULL
20110108;Chillies Bajji yagani;01/08/2011;NULL
20110109;Chillies Green;01/09/2011;NULL
20110109;Chillies Bajji;01/09/2011;NULL
20110109;Chillies Cleaned;01/09/2011;NULL
20110109;Chillies small (C.B.P);01/09/2011;NULL
20110109;Chillies Bajji yagani;01/09/2011;NULL
20110110;Chillies small (C.B.P);01/10/2011;NULL
20110110;Chillies Cleaned;01/10/2011;NULL
20110110;Chillies Bajji;01/10/2011;NULL
20110110;Chillies Green;01/10/2011;NULL
20110110;Chillies Bajji yagani;01/10/2011;NULL
20110111;Chillies Green;01/11/2011;NULL
20110111;Chillies Bajji;01/11/2011;NULL
20110111;Chillies Cleaned;01/11/2011;NULL
20110111;Chillies small (C.B.P);01/11/2011;NULL
20110111;Chillies Bajji yagani;01/11/2011;NULL
20110112;Chillies small (C.B.P);01/12/2011;NULL
20110112;Chillies Cleaned;01/12/2011;NULL
20110112;Chillies Bajji;01/12/2011;NULL
20110112;Chillies Green;01/12/2011;NULL
20110112;Chillies Bajji yagani;01/12/2011;NULL
20110113;Chillies Green;13/01/2011;NULL
20110113;Chillies Bajji;13/01/2011;NULL
20110113;Chillies Cleaned;13/01/2011;NULL
20110113;Chillies small (C.B.P);13/01/2011;NULL
20110113;Chillies Bajji yagani;13/01/2011;NULL
20110114;Chillies Bajji yagani;14/01/2011;NULL
20110114;Chillies small (C.B.P);14/01/2011;NULL
20110114;Chillies Cleaned;14/01/2011;NULL
20110114;Chillies Bajji;14/01/2011;NULL
20110114;Chillies Green;14/01/2011;NULL
20110115;Chillies Green;15/01/2011;NULL
20110115;Chillies Bajji;15/01/2011;NULL
20110115;Chillies Cleaned;15/01/2011;NULL
20110115;Chillies small (C.B.P);15/01/2011;NULL
20110115;Chillies Bajji yagani;15/01/2011;NULL
20110116;Chillies small (C.B.P);16/01/2011;NULL
20110116;Chillies Cleaned;16/01/2011;NULL
20110116;Chillies Bajji;16/01/2011;NULL
20110116;Chillies Green;16/01/2011;NULL
